N,cost_ff,time_ff_s,cost_ann,time_ann_s,cost_lapjv,time_lapjv_s,ratio_ff_over_opt,ratio_ann_over_opt
1000,65.69520637229253,0.049225568771362305,70.66654536677233,0.01858997344970703,49.454856872558594,0.517402172088623,1.3283873521580314,1.428910117946042
5000,136.74748181626794,0.30580925941467285,146.57767623255924,0.1486825942993164,92.15129089355469,9.893383979797363,1.48394537385512,1.5906198905219164
10000,221.89870426404897,0.7081091403961182,235.56958282617208,0.4027702808380127,153.29078674316406,51.11510157585144,1.44756713027924,1.5367497801473526
20000,262.0420030276218,1.9668824672698975,284.98979249034346,1.234088659286499,,,,
30000,336.3324719741027,3.826247215270996,359.64518807681736,2.628990411758423,,,,
50000,519.4129982279983,8.951534032821655,567.4710704661879,7.560213804244995,,,,
80000,674.1797733637895,20.601284980773926,711.8310722955931,17.268936157226562,,,,
100000,718.5937537230245,30.12082552909851,767.185345969063,26.608121633529663,,,,
